site_id,zone_id,site_name,latitude,longitude,site_type,available_grid_capacity_kw,road_accessibility_score,distance_to_nearest_station_km,land_availability,zone_name,demand_pressure_score,projected_6m_kw,projected_12m_kw,demand_score,grid_score,accessibility_score,coverage_gap_score,opportunity_score,demand_contribution,grid_contribution,accessibility_contribution,coverage_contribution,confidence_tier
S001,Z001,Whitefield Metro Park-and-Ride,12.9773,77.7523,metro_station,480,0.84,1.2,available,Whitefield,86.7142857142857,90.97075479820124,101.98314407277105,86.7142857142857,96.0,84.0,24.0,72.94999999999999,30.34999999999999,24.0,12.6,6.0,High
S002,Z001,Whitefield Metro Station Forecourt,12.9623,77.7502,metro_station,207,0.94,0.4,available,Whitefield,86.7142857142857,90.97075479820124,101.98314407277105,86.7142857142857,41.4,94.0,8.0,56.79999999999999,30.34999999999999,10.35,14.1,2.0,Medium
S003,Z001,Whitefield Public Parking Facility,12.9757,77.7525,parking_lot,169,0.65,1.4,pending_approval,Whitefield,86.7142857142857,90.97075479820124,101.98314407277105,86.7142857142857,33.800000000000004,65.0,27.999999999999996,55.54999999999999,30.34999999999999,8.450000000000001,9.75,6.999999999999999,Medium
S004,Z001,Whitefield NH Junction Node,12.9725,77.7617,highway_node,397,1.0,1.4,restricted,Whitefield,86.7142857142857,90.97075479820124,101.98314407277105,86.7142857142857,79.4,100.0,27.999999999999996,72.19999999999999,30.34999999999999,19.85,15.0,6.999999999999999,Needs Field Survey
S005,Z002,Koramangala Public Parking Facility,12.9246,77.6142,parking_lot,274,0.83,1.1,available,Koramangala,70.14285714285714,58.4467239001661,63.405960969236695,70.14285714285714,54.800000000000004,83.0,22.000000000000004,56.2,24.549999999999997,13.700000000000001,12.45,5.500000000000001,Medium
S006,Z002,Koramangala Namma Metro Hub,12.9376,77.6246,metro_station,223,0.85,0.9,available,Koramangala,70.14285714285714,58.4467239001661,63.405960969236695,70.14285714285714,44.6,85.0,18.0,52.949999999999996,24.549999999999997,11.15,12.75,4.5,Medium
S007,Z002,Koramangala Brigade Gateway,12.932,77.6203,commercial_complex,268,0.7,0.9,available,Koramangala,70.14285714285714,58.4467239001661,63.405960969236695,70.14285714285714,53.6,70.0,18.0,52.949999999999996,24.549999999999997,13.4,10.5,4.5,Medium
S008,Z002,Koramangala Brigade Gateway,12.9342,77.6112,commercial_complex,273,0.84,0.9,available,Koramangala,70.14285714285714,58.4467239001661,63.405960969236695,70.14285714285714,54.6,84.0,18.0,55.3,24.549999999999997,13.65,12.6,4.5,Medium
S009,Z003,HSR Layout Brigade Gateway,12.9155,77.6291,commercial_complex,273,0.73,0.5,pending_approval,HSR Layout,39.285714285714285,16.48416378032252,17.254143422279498,39.285714285714285,54.6,73.0,10.0,40.849999999999994,13.749999999999998,13.65,10.95,2.5,Medium
S010,Z003,HSR Layout Public Parking Facility,12.898,77.6496,parking_lot,143,0.78,0.9,available,HSR Layout,39.285714285714285,16.48416378032252,17.254143422279498,39.285714285714285,28.599999999999998,78.0,18.0,37.099999999999994,13.749999999999998,7.1499999999999995,11.7,4.5,Medium
